period,duration,depth,planet_radius,disposition,semi_major_axis,source,star_radius,teff,logg
2.211116989,1.6485,724.2,1.85,CONFIRMED,0.0294,Kepler,,,
27.9541337,3.95,942.5,1.9,CONFIRMED,0.1593,Kepler,,,
12.69104387,3.7727,252.1,2.57,CONFIRMED,0.1072,Kepler,,,
4.409409243,3.8636,12861.0,10.95,FALSE POSITIVE,0.0491,Kepler,,,
16.23947096,4.0374,2590.7,4.14,CONFIRMED,0.1229,Kepler,,,
6.308201629,2.9785,1328.5,2.96,CONFIRMED,0.0654,Kepler,,,
2.052349884,2.0778,14281.0,13.12,CONFIRMED,0.0322,Kepler,,,
9.7704486,2.4517,1897.8,2.23,CONFIRMED,0.0714,Kepler,,,
5.169804269,2.153,1037.4,1.66,CONFIRMED,0.0467,Kepler,,,
21.22261195,6.5093,366.0,2.48,CONFIRMED,0.1506,Kepler,,,
20.09017037,4.154,1432.1,2.25,CONFIRMED,0.1154,Kepler,,,
7.11373257,2.1764,807.6,1.16,CONFIRMED,0.0551,Kepler,,,
3.306551643,1.8177,509.2,0.91,CONFIRMED,0.0331,Kepler,,,
15.36845737,2.4714,756.1,1.11,CONFIRMED,0.0922,Kepler,,,
13.81020318,3.048,1309.7,4.56,CONFIRMED,0.1131,Kepler,,,
4.093578461,2.5833,538.6,2.85,CONFIRMED,0.0514,Kepler,,,
105.145959,8.593,685.4,3.43,CONFIRMED,0.4471,Kepler,,,
10.8484518,2.9993,1675.6,2.34,CONFIRMED,0.0815,Kepler,,,
6.66833241,1.915,362.3,1.18,CONFIRMED,0.0589,Kepler,,,
4.082274889,3.23015,17859.0,10.55,CONFIRMED,0.0479,Kepler,,,
3.886655224,3.1646,581.6,1.87,CANDIDATE,0.0451,Kepler,,,
42.1406089,5.083,895.5,1.85,CONFIRMED,0.2095,Kepler,,,
4.617490562,2.2618,575.8,1.62,CONFIRMED,0.048,Kepler,,,
10.19849255,2.4283,634.1,1.75,CONFIRMED,0.0814,Kepler,,,
5.795063956,3.2496,1692.9,4.33,FALSE POSITIVE,0.0613,Kepler,,,
7.15681552,2.5882,867.0,2.47,CONFIRMED,0.0675,Kepler,,,
17.64830851,2.0873,763.3,2.43,CONFIRMED,0.1232,Kepler,,,
4.14810719,2.535,175.2,1.08,CONFIRMED,0.0469,Kepler,,,
16.51410989,4.1575,973.5,2.72,CONFIRMED,0.1199,Kepler,,,
30.1329298,5.172,1015.8,3.14,CONFIRMED,0.179,Kepler,,,
4.79090809,2.603,251.3,1.36,CONFIRMED,0.0525,Kepler,,,
31.71981013,4.819,363.4,3.09,CONFIRMED,0.1975,Kepler,,,
99.6415962,4.448,952.5,2.64,CONFIRMED,0.3973,Kepler,,,
4.708326451,3.16114,7912.7,10.6,CONFIRMED,0.0539,Kepler,,,
16.37198661,3.8449,4147.6,540.37,FALSE POSITIVE,0.1052,Kepler,,,
5.392026903,2.9804,1151.4,2.68,CONFIRMED,0.0583,Kepler,,,
2.494170338,1.1221,863.7,2.42,CANDIDATE,0.0351,Kepler,,,
6.491682808,4.301,7163.3,9.66,CONFIRMED,0.0715,Kepler,,,
3.044770796,10.0134,1695.0,24.54,FALSE POSITIVE,0.0386,Kepler,,,
3.855603916,3.2179,16653.0,13.61,CONFIRMED,0.0505,Kepler,,,
3.855599139,3.183,1030.9,3.57,FALSE POSITIVE,0.0493,Kepler,,,
38.47876629,5.04169,23530.0,13.26,CONFIRMED,0.2213,Kepler,,,
37.601661282,8.30604,59130.0,27.22,FALSE POSITIVE,0.219,Kepler,,,
3.314947362,1.8007,1398.2,3.94,CONFIRMED,0.0433,Kepler,,,
6.71969089,3.0231,969.7,4.37,FALSE POSITIVE,0.0654,Kepler,,,
39.6431552,6.5292,15664.0,10.98,CONFIRMED,0.215,Kepler,,,
51.42598578,16.9422,66068.0,29.66,FALSE POSITIVE,0.2904,Kepler,,,
21.80451611,3.4097,1144.9,2.6,CONFIRMED,0.1406,Kepler,,,
10.28194593,3.4366,1110.7,2.53,CONFIRMED,0.088,Kepler,,,
18.11993039,4.2309,1506.9,2.95,CONFIRMED,0.1284,Kepler,,,
3.78402867,1.9012,426.1,1.7,CONFIRMED,0.0452,Kepler,,,
5.15448142,3.228,697.5,2.94,CONFIRMED,0.0546,Kepler,,,
33.80364366,11.4813,13494.0,20.7,FALSE POSITIVE,0.216,Kepler,,,
5.743469797,3.4412,1240.2,3.13,CONFIRMED,0.0625,Kepler,,,
39.4759093,2.968,1012.6,4.06,CANDIDATE,0.2338,Kepler,,,
19.974485239,4.23479,40293.0,26.56,FALSE POSITIVE,0.1476,Kepler,,,
3.166353562,3.3129,1473.4,3.82,CONFIRMED,0.0432,Kepler,,,
23.899634407,3.81881,20953.0,44.04,FALSE POSITIVE,0.162,Kepler,,,
3.388012244,2.6849,280.1,2.11,CONFIRMED,0.0434,Kepler,,,
5.83909761,3.1915,273.6,2.06,CONFIRMED,0.0624,Kepler,,,
1.620467654,2.1888,159.6,1.57,CONFIRMED,0.0265,Kepler,,,
10.6816951,3.605,307.8,2.3,CONFIRMED,0.0933,Kepler,,,
6.104849417,4.6912,2090.3,3.18,CONFIRMED,0.0583,Kepler,,,
3.578780566,2.91089,11382.0,10.43,CONFIRMED,0.045,Kepler,,,
3.187067566,3.119,1037.4,23.88,FALSE POSITIVE,0.0403,Kepler,,,
5.826657508,2.9183,1539.1,4.09,CONFIRMED,0.0622,Kepler,,,
12.41216347,3.739,611.3,2.58,CONFIRMED,0.103,Kepler,,,
18.74649011,3.895,796.8,3.05,CONFIRMED,0.1355,Kepler,,,
20.86021229,5.1937,1910.5,5.5,CONFIRMED,0.1462,Kepler,,,
42.63427848,6.1998,1719.3,5.22,CONFIRMED,0.2355,Kepler,,,
87.6476068,8.871,1009.6,4.0,CONFIRMED,0.3807,Kepler,,,
9.61731426,3.8692,234.0,1.94,CANDIDATE,0.0873,Kepler,,,
9.467821474,2.4327,2237.0,2.13,CONFIRMED,0.0691,Kepler,,,
0.893040969,1.0981,741.7,1.24,CONFIRMED,0.0143,Kepler,,,
4.942783419,3.25346,11145.0,10.62,CONFIRMED,0.0569,Kepler,,,
20.83426731,4.0454,988.4,2.74,CONFIRMED,0.1483,Kepler,,,
9.94602357,3.3862,994.5,3.12,CONFIRMED,0.0864,Kepler,,,
1.04562195,1.8955,213.0,1.45,CONFIRMED,0.0192,Kepler,,,
5.71462396,2.336,297.8,1.78,CONFIRMED,0.0597,Kepler,,,
102.9641952,15.735,1896.7,39.0,FALSE POSITIVE,0.5554,Kepler,,,
8.14515981,5.073,446.8,3.43,CONFIRMED,0.076,Kepler,,,
18.9985279,4.529,430.7,43.17,CONFIRMED,0.1337,Kepler,,,
4.24439049,3.282,174.0,2.07,CONFIRMED,0.0492,Kepler,,,
90.1240507,11.649,3020.3,7.12,CANDIDATE,0.427,Kepler,,,
28.5742692,4.9427,824.9,2.32,CONFIRMED,0.1681,Kepler,,,
856.672115,23.144,858.1,3.87,CANDIDATE,1.8045,Kepler,,,
0.689210173,1.6169,195.0,1.32,CANDIDATE,0.0156,Kepler,,,
7.34373964,1.1784,574.4,1.84,CONFIRMED,0.0697,Kepler,,,
0.445277068,3.539,186.7,35.74,FALSE POSITIVE,0.012,Kepler,,,
0.379463865,0.86896,1973.3,59.56,FALSE POSITIVE,0.0099,Kepler,,,
9.88047978,2.78458,18541.0,23.6,FALSE POSITIVE,0.0901,Kepler,,,
4.6484156,38.1939,128.4,5.06,FALSE POSITIVE,0.0647,Kepler,,,
17.512014768,1.8248,4511.7,13.66,FALSE POSITIVE,0.132,Kepler,,,
3.9886021,1.7376,673.5,34.39,CANDIDATE,0.0622,Kepler,,,
0.533059312,1.8621,1495.8,133.56,CANDIDATE,0.0167,Kepler,,,
0.525154153,2.1441,747.5,23.61,FALSE POSITIVE,0.0119,Kepler,,,
1.303861044,4.0541,598.2,27.85,FALSE POSITIVE,0.0224,Kepler,,,
0.73452496,6.7,,,FALSE POSITIVE,,Kepler,,,
2.55549176,9.083,113.8,23.35,FALSE POSITIVE,0.036,Kepler,,,
2.947376671,2.0911,433.2,403.59,FALSE POSITIVE,0.0492,Kepler,,,
224.7789355,11.1899,3487.5,7.67,CONFIRMED,0.7456,Kepler,,,
0.890110752,0.8774,321.5,1.25,FALSE POSITIVE,0.0167,Kepler,,,
5.76573396,2.924,248.0,7.47,FALSE POSITIVE,0.0745,Kepler,,,
7.42608123,3.6379,443.3,2.47,CONFIRMED,0.0778,Kepler,,,
15.9868932,4.158,178.5,1.62,CONFIRMED,0.1297,Kepler,,,
