period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
119.682075,31.28,1704.1,30.39,3644653.0,K02596.01,FALSE POSITIVE,0.48,Kepler,,,,,,,
42.9923284,4.726,1120.1,3.32,11253827.0,K02672.02,CONFIRMED,0.2336,Kepler,,,,,,,
6.88341278,2.0674,487.4,2.63,5514383.0,K00257.01,CONFIRMED,0.075,Kepler,,,,,,,
4.593595496,2.7468,45034.0,44.14,10747445.0,K02673.01,FALSE POSITIVE,0.0538,Kepler,,,,,,,
197.5111484,11.106,2575.6,9.52,8022489.0,K02674.01,CONFIRMED,0.6711,Kepler,,,,,,,
11.1726723,6.106,76.8,1.5,8022489.0,K02674.02,CONFIRMED,0.0989,Kepler,,,,,,,
2.53573284,3.989,68.0,1.36,8022489.0,K02674.03,CONFIRMED,0.0368,Kepler,,,,,,,
6.79164656,3.343,102.6,1.01,9209624.0,K02443.01,CONFIRMED,0.0658,Kepler,,,,,,,
11.8376933,3.381,92.9,1.0,9209624.0,K02443.02,CONFIRMED,0.0953,Kepler,,,,,,,
18.5525162,4.385,771.5,2.53,3354846.0,K02444.01,CONFIRMED,0.1336,Kepler,,,,,,,
47.3659328,7.929,757.0,11.97,6516185.0,K02445.01,CANDIDATE,0.2475,Kepler,,,,,,,
13.3669309,3.733,12.2,0.27,8478994.0,K00245.03,CONFIRMED,0.1025,Kepler,,,,,,,
1.045492348,2.933,28.7,0.83,3946023.0,K02447.01,FALSE POSITIVE,0.0198,Kepler,,,,,,,
4.86634094,1.885,366.7,1.94,7183745.0,K02521.02,CONFIRMED,0.052,Kepler,,,,,,,
5.60402307,1.0273,224.9,1.25,9177629.0,K02522.01,CONFIRMED,0.0563,Kepler,,,,,,,
13.0313583,4.521,573.3,2.88,7778767.0,K02523.01,CONFIRMED,0.1057,Kepler,,,,,,,
40.9905002,7.336,297.3,2.41,7515762.0,K02524.01,CONFIRMED,0.2383,Kepler,,,,,,,
57.2932309,4.878,773.6,1.95,5942949.0,K02525.01,CONFIRMED,0.2597,Kepler,,,,,,,
8.00504749,3.32,187.5,1.52,12120307.0,K02597.01,CONFIRMED,0.0818,Kepler,,,,,,,
12.13070414,3.843,211.2,1.61,12120307.0,K02597.02,CONFIRMED,0.108,Kepler,,,,,,,
5.61357653,2.905,162.3,1.41,12120307.0,K02597.03,CONFIRMED,0.0646,Kepler,,,,,,,
29.2254372,5.293,174.1,1.35,7446631.0,K02598.01,CANDIDATE,0.1901,Kepler,,,,,,,
1.33255087,3.565,123.3,1.19,9777251.0,K02600.01,FALSE POSITIVE,0.0229,Kepler,,,,,,,
40.8792243,7.005,413.6,1.62,6864893.0,K02375.01,FALSE POSITIVE,0.2129,Kepler,,,,,,,
18.8262877,2.344,795.8,2.34,11701407.0,K02376.01,CONFIRMED,0.128,Kepler,,,,,,,
13.9034057,3.408,261.4,1.55,5906426.0,K02377.01,CANDIDATE,0.1058,Kepler,,,,,,,
3.41045981,2.866,136.2,1.06,11288051.0,K00241.03,CONFIRMED,0.0395,Kepler,,,,,,,
4.76702759,2.013,163.4,1.19,10813132.0,K02378.01,CONFIRMED,0.0528,Kepler,,,,,,,
13.62801048,3.5374,912.8,3.28,5857540.0,K02448.01,CONFIRMED,0.1039,Kepler,,,,,,,
53.3580444,6.812,736.1,3.41,12208631.0,K02449.01,CANDIDATE,0.2695,Kepler,,,,,,,
16.83203175,4.031,326.0,1.86,7289317.0,K02450.01,CONFIRMED,0.1256,Kepler,,,,,,,
13.37499553,1.639,458.1,2.01,6500206.0,K02451.01,FALSE POSITIVE,0.1047,Kepler,,,,,,,
4.35370136,1.913,168.9,1.33,5545815.0,K02452.01,FALSE POSITIVE,0.0495,Kepler,,,,,,,
134.96694,18.43,68.4,0.87,3116302.0,K02526.01,FALSE POSITIVE,0.5244,Kepler,,,,,,,
1.385787741,1.6449,85.4,0.55,7879433.0,K02527.01,CONFIRMED,0.0206,Kepler,,,,,,,
12.02295362,1.2667,778.6,3.28,9205907.0,K02528.01,CONFIRMED,0.1016,Kepler,,,,,,,
16.79716262,3.83,1023.8,2.75,8463346.0,K02529.01,CONFIRMED,0.1158,Kepler,,,,,,,
18.59611518,2.3052,813.8,1.53,5364071.0,K00248.04,CONFIRMED,0.112,Kepler,,,,,,,
