period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
0.933747751,3.9236,76.6,2.07,0.0214,Kepler,0.7921085552392042,4251.295997222361,4.488576510352861
1.09173174,1.9719,186.9,1.07,0.0199,Kepler,0.6764434775233685,3740.212569418265,4.559066181328804
10.05403,2.553,949.3472226624889,2.14,0.0769,K2,0.561,3896.0,4.72
11.332,3.269511097315907,489.99181133928425,1.64,0.083,K2,0.568,3745.0,4.707
0.4378443,2.2248,38344.793381411895,41.0,0.01511289455374598,K2,1.3,6026.754906768976,4.206516491708907
3.09756897,4.588,83.3,1.75,0.0463,Kepler,1.057213454500888,5108.337199736079,4.425487708532557
6.101013,0.9293,151.64723805627406,0.92,0.02925,K2,0.1192,2566.0,5.2396
330.906041,3.846,740.0,2.05,0.883,Kepler,0.5218171876849854,4366.94915837988,4.794637608681512
0.734548624,2.207,58.6,0.84,0.0165,Kepler,1.140323813463089,4603.446078985509,4.546826061381324
4.020628573,4.4085,20901.0,16.94,0.0511,Kepler,0.7925606744263132,4708.600411828519,4.542140543902421
9.75833,1.8,174.70261597959384,0.88,0.04272803668897392,K2,0.371,3827.209729966177,4.782120827979351
4.97760447,2.5719,287.3,1.75,0.0545,Kepler,0.7282546417410132,4921.8281484130175,4.524534813060243
2.64181261,2.127,70.0,0.59,0.0329,Kepler,1.7258731407217929,6422.971678228516,4.148905112400448
8.3806973,3.028,650.8,1.91,0.0746,Kepler,0.8348183125985006,5136.585385452394,4.522749362629416
10.616646,5.168298077806658,173.44598695029404,1.31284773,0.09568705855011467,K2,0.914349,5722.0,4.58
1.400755743,1.0562,144.4,1.3,0.0237,Kepler,0.6573107163414961,4032.8906267210546,4.688017752977293
30.953,3.23592,85229.49031615695,20.12154560700499,0.20861447558251078,K2,0.609039,3856.0,4.64359
440.7843755,21.693,2579.0,7.23,1.1455,Kepler,2.4659803124654274,4058.1268753233394,4.856399725312254
32.5795,5.088,8285.893505881108,10.44,0.1955885971383014,K2,0.633,4643.3609742811805,4.494821164883224
1.575710265,6.83787,173950.0,246.75,0.0304,Kepler,1.1727686420346226,4730.584268100896,4.443404582888105
11.63344,4.540135764953717,8026.555732627056,9.52763359,0.10209923064864107,K2,1.669,5537.0,4.21
50.900813,3.3,722.8707343185097,2.4213211540715958,0.2490261687836756,Kepler,0.7890749220493293,4994.455630093917,4.561070573885441
1.71024931,2.833,98.6,1.2,0.0301,Kepler,1.2081049914597632,5096.320800317279,4.253070404467802
0.704541784,1.0726,275.2,1.72,0.0161,Kepler,1.4185543220541679,5440.646645088493,4.19487060763208
